'03.04.2023 17:09:02','638161385428257958','MouseMovement','None','X:864,Y:631'
'03.04.2023 17:09:03','638161385430247008','MouseMovement','None','X:825,Y:605'
'03.04.2023 17:09:03','638161385430458982','MouseMovement','None','X:813,Y:598'
'03.04.2023 17:09:03','638161385430991503','MouseMovement','None','X:753,Y:552'
'03.04.2023 17:09:03','638161385431149158','MouseMovement','None','X:740,Y:545'
'03.04.2023 17:09:03','638161385431204784','MouseMovement','None','X:735,Y:542'
'03.04.2023 17:09:03','638161385431418013','MouseMovement','None','X:730,Y:538'
'03.04.2023 17:09:03','638161385431525793','MouseMovement','None','X:727,Y:537'
'03.04.2023 17:09:03','638161385431843415','MouseMovement','None','X:726,Y:536'
'03.04.2023 17:09:03','638161385431950680','MouseMovement','None','X:722,Y:533'
'03.04.2023 17:09:03','638161385432057600','MouseMovement','None','X:719,Y:531'
'03.04.2023 17:09:03','638161385432168423','MouseMovement','None','X:715,Y:529'
'03.04.2023 17:09:03','638161385432273266','MouseMovement','None','X:711,Y:527'
'03.04.2023 17:09:03','638161385432380902','MouseMovement','None','X:702,Y:525'
'03.04.2023 17:09:03','638161385432483034','MouseMovement','None','X:701,Y:525'
'03.04.2023 17:09:03','638161385432636684','MouseMovement','None','X:700,Y:525'
'03.04.2023 17:09:03','638161385433871573','MouseMovement','None','X:703,Y:525'
'03.04.2023 17:09:03','638161385433979784','MouseMovement','None','X:708,Y:525'
'03.04.2023 17:09:03','638161385434084445','MouseMovement','None','X:715,Y:525'
'03.04.2023 17:09:03','638161385434182520','MouseMovement','None','X:725,Y:524'
'03.04.2023 17:09:03','638161385434267216','MouseMovement','None','X:737,Y:523'
'03.04.2023 17:09:03','638161385434403663','MouseMovement','None','X:747,Y:523'
'03.04.2023 17:09:03','638161385434509817','MouseMovement','None','X:791,Y:523'
'03.04.2023 17:09:03','638161385434638339','MouseMovement','None','X:806,Y:523'
'03.04.2023 17:09:03','638161385434812951','MouseMovement','None','X:820,Y:524'
'03.04.2023 17:09:03','638161385434823087','MouseMovement','None','X:830,Y:527'
'03.04.2023 17:09:03','638161385434900343','MouseMovement','None','X:839,Y:528'
'03.04.2023 17:09:03','638161385435052920','MouseMovement','None','X:844,Y:529'
'03.04.2023 17:09:03','638161385435063072','MouseMovement','None','X:846,Y:530'
'03.04.2023 17:09:03','638161385435686006','MouseMovement','None','X:846,Y:531'
'03.04.2023 17:09:03','638161385435845123','MouseMovement','None','X:842,Y:532'
'03.04.2023 17:09:03','638161385435901842','MouseMovement','None','X:826,Y:536'
'03.04.2023 17:09:03','638161385436006820','MouseMovement','None','X:814,Y:539'
'03.04.2023 17:09:03','638161385436160517','MouseMovement','None','X:797,Y:541'
'03.04.2023 17:09:03','638161385436219061','MouseMovement','None','X:756,Y:548'
'03.04.2023 17:09:03','638161385436326111','MouseMovement','None','X:731,Y:549'
'03.04.2023 17:09:03','638161385436483523','MouseMovement','None','X:707,Y:551'
'03.04.2023 17:09:03','638161385436539131','MouseMovement','None','X:663,Y:556'
'03.04.2023 17:09:03','638161385436647628','MouseMovement','None','X:640,Y:559'
'03.04.2023 17:09:03','638161385436799865','MouseMovement','None','X:614,Y:564'
'03.04.2023 17:09:03','638161385436860541','MouseMovement','None','X:547,Y:578'
'03.04.2023 17:09:03','638161385436967375','MouseMovement','None','X:511,Y:584'
'03.04.2023 17:09:03','638161385437122971','MouseMovement','None','X:475,Y:592'
'03.04.2023 17:09:03','638161385437179930','MouseMovement','None','X:414,Y:597'
'03.04.2023 17:09:03','638161385437287770','MouseMovement','None','X:394,Y:597'
'03.04.2023 17:09:03','638161385437442359','MouseMovement','None','X:376,Y:597'
'03.04.2023 17:09:03','638161385437498884','MouseMovement','None','X:356,Y:597'
'03.04.2023 17:09:03','638161385437608512','MouseMovement','None','X:349,Y:597'
'03.04.2023 17:09:03','638161385437761306','MouseMovement','None','X:346,Y:597'
'03.04.2023 17:09:03','638161385438083058','MouseMovement','None','X:343,Y:597'
'03.04.2023 17:09:03','638161385438138791','MouseMovement','None','X:342,Y:597'
'03.04.2023 17:09:03','638161385438294051','MouseMovement','None','X:341,Y:597'
'03.04.2023 17:09:03','638161385438349609','MouseMovement','None','X:339,Y:597'
'03.04.2023 17:09:03','638161385438460233','MouseMovement','None','X:336,Y:597'
'03.04.2023 17:09:03','638161385438642518','MouseMovement','None','X:332,Y:597'
'03.04.2023 17:09:03','638161385438675456','MouseMovement','None','X:329,Y:597'
'03.04.2023 17:09:03','638161385438823822','MouseMovement','None','X:326,Y:597'
'03.04.2023 17:09:03','638161385438971158','MouseMovement','None','X:325,Y:597'
'03.04.2023 17:09:03','638161385438981691','MouseMovement','None','X:323,Y:597'
'03.04.2023 17:09:03','638161385439056415','MouseMovement','None','X:321,Y:597'
'03.04.2023 17:09:03','638161385439206971','MouseMovement','None','X:314,Y:597'
'03.04.2023 17:09:03','638161385439311677','MouseMovement','None','X:304,Y:600'
'03.04.2023 17:09:03','638161385439416302','MouseMovement','None','X:298,Y:601'
'03.04.2023 17:09:03','638161385439642643','MouseMovement','None','X:291,Y:601'
'03.04.2023 17:09:03','638161385439738055','MouseMovement','None','X:283,Y:601'
'03.04.2023 17:09:03','638161385439847075','MouseMovement','None','X:278,Y:601'
'03.04.2023 17:09:03','638161385439949790','MouseMovement','None','X:261,Y:601'
'03.04.2023 17:09:04','638161385440055934','MouseMovement','None','X:250,Y:601'
'03.04.2023 17:09:04','638161385440163534','MouseMovement','None','X:238,Y:601'
'03.04.2023 17:09:04','638161385440342612','MouseMovement','None','X:225,Y:601'
'03.04.2023 17:09:04','638161385440355522','MouseMovement','None','X:210,Y:601'
'03.04.2023 17:09:04','638161385440379244','MouseMovement','None','X:196,Y:601'
'03.04.2023 17:09:04','638161385440488027','MouseMovement','None','X:178,Y:601'
'03.04.2023 17:09:04','638161385440642539','MouseMovement','None','X:169,Y:600'
'03.04.2023 17:09:04','638161385440698816','MouseMovement','None','X:166,Y:600'
'03.04.2023 17:09:04','638161385440806455','MouseMovement','None','X:162,Y:599'
'03.04.2023 17:09:04','638161385441337206','MouseMovement','None','X:163,Y:598'
'03.04.2023 17:09:04','638161385441446405','MouseMovement','None','X:164,Y:598'
'03.04.2023 17:09:04','638161385441552919','MouseMovement','None','X:179,Y:598'
'03.04.2023 17:09:04','638161385441657461','MouseMovement','None','X:192,Y:598'
'03.04.2023 17:09:04','638161385441764148','MouseMovement','None','X:213,Y:598'
'03.04.2023 17:09:04','638161385441870381','MouseMovement','None','X:281,Y:598'
'03.04.2023 17:09:04','638161385441978705','MouseMovement','None','X:332,Y:598'
'03.04.2023 17:09:04','638161385442083135','MouseMovement','None','X:389,Y:598'
'03.04.2023 17:09:04','638161385442193888','MouseMovement','None','X:531,Y:598'
'03.04.2023 17:09:04','638161385442301478','MouseMovement','None','X:612,Y:598'
'03.04.2023 17:09:04','638161385442405426','MouseMovement','None','X:690,Y:598'
'03.04.2023 17:09:04','638161385442512319','MouseMovement','None','X:771,Y:598'
'03.04.2023 17:09:04','638161385442642410','MouseMovement','None','X:923,Y:598'
'03.04.2023 17:09:04','638161385442723007','MouseMovement','None','X:988,Y:599'
'03.04.2023 17:09:04','638161385442832399','MouseMovement','None','X:1037,Y:604'
'03.04.2023 17:09:04','638161385442936194','MouseMovement','None','X:1092,Y:612'
'03.04.2023 17:09:04','638161385443043177','MouseMovement','None','X:1104,Y:614'
'03.04.2023 17:09:04','638161385443149814','MouseMovement','None','X:1114,Y:616'
'03.04.2023 17:09:04','638161385443624010','MouseMovement','None','X:1113,Y:616'
'03.04.2023 17:09:04','638161385443697275','MouseMovement','None','X:1111,Y:617'
'03.04.2023 17:09:04','638161385443857168','MouseMovement','None','X:1110,Y:618'
'03.04.2023 17:09:04','638161385443867630','MouseMovement','None','X:1108,Y:620'
'03.04.2023 17:09:04','638161385443920034','MouseMovement','None','X:1106,Y:621'
'03.04.2023 17:09:04','638161385444005521','MouseMovement','None','X:1099,Y:625'
'03.04.2023 17:09:04','638161385444110442','MouseMovement','None','X:1093,Y:629'
'03.04.2023 17:09:04','638161385444236906','MouseMovement','None','X:1089,Y:632'
'03.04.2023 17:09:04','638161385444429973','MouseMovement','None','X:1074,Y:637'
'03.04.2023 17:09:04','638161385444536256','MouseMovement','None','X:1054,Y:639'
'03.04.2023 17:09:04','638161385444644040','MouseMovement','None','X:1044,Y:639'
'03.04.2023 17:09:04','638161385444751341','MouseMovement','None','X:1030,Y:639'
'03.04.2023 17:09:04','638161385444856045','MouseMovement','None','X:1004,Y:639'
'03.04.2023 17:09:04','638161385444963950','MouseMovement','None','X:990,Y:641'
'03.04.2023 17:09:04','638161385445070096','MouseMovement','None','X:979,Y:642'
'03.04.2023 17:09:04','638161385445176410','MouseMovement','None','X:961,Y:648'
'03.04.2023 17:09:04','638161385445287336','MouseMovement','None','X:952,Y:652'
'03.04.2023 17:09:04','638161385445459406','MouseMovement','None','X:931,Y:664'
'03.04.2023 17:09:04','638161385445496274','MouseMovement','None','X:920,Y:670'
'03.04.2023 17:09:04','638161385445609024','MouseMovement','None','X:911,Y:676'
'03.04.2023 17:09:04','638161385445710626','MouseMovement','None','X:902,Y:681'
'03.04.2023 17:09:04','638161385445816969','MouseMovement','None','X:890,Y:688'
'03.04.2023 17:09:04','638161385445930402','MouseMovement','None','X:884,Y:692'
'03.04.2023 17:09:04','638161385446033706','MouseMovement','None','X:878,Y:695'
'03.04.2023 17:09:04','638161385446137293','MouseMovement','None','X:870,Y:701'
'03.04.2023 17:09:04','638161385446243278','MouseMovement','None','X:866,Y:703'
'03.04.2023 17:09:04','638161385446354587','MouseMovement','None','X:861,Y:706'
